spotifyid,link,genre,notes
4zKbPdCC2o8726tHh5sEJw,https://p.scdn.co/mp3-preview/0fd08ae58ab3675206c12bbbc67c49eb98ea3b5b,Jazz / Blues,
1wY2gZb4aKhx05mUrg8x2d,https://p.scdn.co/mp3-preview/8dd44a8183add6ceb65ddd72d4c8e80fd724c2b8,Rock / Pop,
18PticKHxKOD0FCegKP4YW,https://p.scdn.co/mp3-preview/f32a0c2d8f2beda7d68c2aea2742833747bb94c9,Rock / Pop,
036pGlJwc9ZVFJNLmniSbF,https://p.scdn.co/mp3-preview/3b7ce15b4c08506321c272c2584558e26ce47ae1,Rock / Pop,
6OuiRNPXRjGNBJ9SF2mlZN,https://p.scdn.co/mp3-preview/02e6e01ccfa65cf7550040053edc5e0b613f1b4e,Country / Folk,
64ftARyBecFe8itpArVNhP,https://p.scdn.co/mp3-preview/e647b847b15279004c7a2b6b46fe28a81bccd967,Rock / Pop,
0oZAFNVcD3oUuidvh9LeDI,https://p.scdn.co/mp3-preview/1b5d682bb6a58bd4f4d9fd7acbf2999b6a41beae,Jazz / Blues,
5IMLo7isyDYuMck9tDYCi9,https://p.scdn.co/mp3-preview/cddbec51a5a66494349f00669b6185240ad18a75,Soul / Funk / Disco,
0aqxViT9Cyq6ofVqRYeQCd,https://p.scdn.co/mp3-preview/31e157f03ecaa6e3f6cb3a5a60eba9a85fc00b64,Rock / Pop,
35lmSRSLjbPYMSxSWhJ3GN,https://p.scdn.co/mp3-preview/85ac5feea217797e1759245538ece3232bf9de95,Soul / Funk / Disco,
7tWKNeaVjwyg7B9De4Pwrm,https://p.scdn.co/mp3-preview/32ab7a6841a0bba4633c255f60ca26caad38e28d,Country / Folk,
45d8EcIMeqzanZWgHXcHe7,https://p.scdn.co/mp3-preview/a1dc1e58b229fa912cfc8163b93dc4c764e72175,Soul / Funk / Disco,
6bmWHbCPo6TqUazkWelU6J,https://p.scdn.co/mp3-preview/0a05270e93f7fc2281a792aad7b95d2b7e7432cf,Country / Folk,
6bTrKgSoZKVHkecoa3t8LO,https://p.scdn.co/mp3-preview/440e9912f171e0d5418ce867d3b2fceada9c66e8,Country / Folk,
