TITLE (original),ORIGINAL,YEAR,COVER BAND,YEAR,,SOURCE
Summertime,George Gershwin,1935,,,,
All Along the Watchtower ,Bob Dylan,1967,Jimi Hendrix,,**,http://www.ultimate-guitar.com/columns/features/cover_power_12_cover_songs_more_famous_than_originals.html
I Love Rock 'N Roll,Arrows,1975,Joan Jett,1981,**,(both versions video)
Cocaine,JJ Cale,1976,Eric Clapton,1977,**,
Black Magic Woman,Fleetwood Mac,1968,Santana,1970,**,
Mr. Tambourine Man,Bob Dylan,,The Byrds,,,
Hurt,Nine Inch Nails,,Johnny Cash,,**,
So What,Anti-Nowhere League,,Metallica,,,
Dazed and Confused,Jake Holmes,1967,Led Zeppelin,,*,
Evil Woman,Crow,,Black Sabbath,,,
The House of the Rising Sun,(Traditional song),,Animals,,,
Easy,Commodores,,Faith No More,,,> cover title: Easy (Like Sunday Morning)
Renegades of Funk,Afrika Bambaataa,,Rage Against the Machine,,,
Nothing Compares 2 U,Prince/The Family,1985,Sinead O’Conner,1990,**,http://www.vh1.com/music/tuner/2013-04-18/cover-me-20-famous-songs-you-had-no-idea-were-covers/
Tainted Love,Gloria Jones ,1965,Soft Cell,1981,**,(original video)
It’s My Life,Talk Talk,1984,No Doubt,,*,
Whatta Man,Linda Lyndell,1968,Salt-n-Pepa,,,
Valerie,The Zutons,2006,Amy Winehouse ,,,
Blinded By The Light,Bruce Springsteen,1972,Manfred Mann’s Earth Band,1976,*,
Emotion,Samantha Sang,1977,Destiny’s Child,,,
If I Were A Boy,BC Jean,,Beyonce,,,
Crazy,Willie Nelson,1961,Patsy Cline,,,
Torn,Ednaswap,1995,Natalie Imbruglia,1997,*,
Time Is On My Side,Irma Thomas,1963,The Rolling Stones,,,
Ray Of Light,Curtiss Maldoon,1971,Madonna,,,
Hey Joe,The Leaves,1965,Jimi Hendrix,1966,*,
original german: Und Jetzt Ist Es Still ,Horst Winter,1948,Bjork,,,"> original english: It’s Oh So Quiet - Betty Hutton, 1951"
Girls Just Wanna Have Fun,Robert Hazard,1979,Cyndi Lauper ,1983,***,
The First Cut Is The Deepest,P.P. Arnold,1967,Rod Stewart,,,
Step By Step,Annie Lennox,,Whitney Houston,,,
Cum On Feel The Noize,Slade,1973,Quiet Riot,1983,*,
Superstition,Jeff Beck,1972,Stevie Wonder,,,
Hound Dog,Big Mama Thorton,1953,Elvis Presle,1956,**,http://www.huffingtonpost.com/2013/04/22/cover-songs-more-famous-than-originals-20-tunes_n_3118557.html
True Love Will Find You in the End,Daniel Johnston,,Beck,,,
I Fought The Law,The Crickets,1958,The Clash,,*,>  the Bobby Fuller Four covered it in 1964
Hallelujah,Leonard Cohen,,Jeff Buckley,,**,
Blinded by the Light,Bruce Springsteen,,Manfred Mann’s Earth Band ,,,
There She Goes,The Las,1988,Six Pence None The Richer,,,
The Man Who Sold The World,David Bowie,,Nirvana,,,
Respect,Otis Redding,1965,Aretha Franklin,1967,**,
Me and Bobby McGee,Kris Kristofferson,1969,Janis Joplin,,,
Downtown Train,Tom Waits,1985,Rod Stewart,,,
Istanbul (Not Constantinople),The Four Lads,,They Might Be Giants,,,
I've Got You Under My Skin,Virginea Bruce,1936,Frank Sinatra,,,
I Will Always Love You,Dolly Parton ,1973,Whitney Houston,1992,**,
Don’t Turn Around,Tina Turner,1986,Ace of Base,1994,*,http://mentalfloss.com/article/53336/20-songs-you-might-not-know-were-covers
It’s Oh So Quiet,Betty Hutton,1951,Björk,1995,*,(both versions video)
Manic Monday,Apollonia 6,1984,The Bangles,1986,,
I Want Candy,The Strangeloves,1965,Bow Wow Wow,1982,,
I Think We’re Alone Now,Tommy James and the Shondells,1967,Tiffany,1987,*,
When the Levee Breaks,Led Zeppelin,1971,Kansas Joe McCoy & Memphis Minnie,1929,,
Hard To Handle,Otis Redding,1968,The Black Crowes,1990,,
I Swear,John Michael Montgomery,1993,All-4-One,1994,,
Don’t Cha,Tori Alamaze,,The Pussycat Dolls,,,
The Tide is High,The Paragons,1967,Blondie,1980,,
Black and White,Greyhound,1971,Three Dog Night,1972,,
Black Betty,Lead Belly,1939,Spiderbait,,,http://www.fasterlouder.com.au/features/39861/10-covers-more-popular-than-the-original-songs
God Gave Rock ‘n’ Roll To You,Argent,,Kiss,,,
I Shot the Sheriff,Bob Marley,1973,Eric Clapton,,,
Oye Como va,Tito Puente,1963,Santana,,,
You’ve Got a Friend,Carole King,,James Taylor,1971,,
Saving All My Love for You,Marilyn McCoo and Billy Davis Jr.,,Whitney Houston,,,http://popcrush.com/songs-you-might-not-have-known-were-covers/
I’m Going Down,Rose Royce,,Mary J. Blige,,,
I Turn to You,All-4-One,,Christina Aguilera,,,
Mambo No. 5,All-4-One,1949,Lou Bega,,,
Killing Me Softly with His Song,Lori Lieberman,1971,Roberta Flack,1973,,"other famous cover: by Fugees,1996"
,,,,,,
,,,,,,
Higher Ground,Stevie Wonder,,Red Hot Chili Peppers,,,http://diffuser.fm/10-cover-songs-better-than-the-originals/
Jolene,Dolly Parton,,The White Stripes,,,
Bizarre Love Triangle,New Order,,Frente,,,
California Sun,Joe Jones,,The Ramones,,,
Rock & Roll,The Velvet Underground,,Jane's Addiction,,,
With Arms Wide Open,Creed,,Dave Grohl,,,
Love Buzz,Shocking Blue,,Nirvana,,,
